words,resposta
mercado,neutro
ações,neutro
milhões,positivo
investidores,positivo
relações,neutro
acionistas,positivo
sobre,neutro
relações investidores,neutro
valores,neutro
diretor,neutro
valor,neutro
informações,neutro
capital,positivo
total,neutro
administração,neutro
data,neutro
cvm,litigiosa
geral,neutro
conselho,neutro
comunicado,neutro
termos,neutro
resultados,positivo
mobiliários,neutro
valores mobiliários,positivo
mil,neutro
emissão,neutro
energia,neutro
oferta,neutro
crescimento,positivo
participação,positivo
outros,neutro
comunicado mercado,neutro
cnpj,neutro
social,neutro
empresa,neutro
líquido,neutro
ano,neutro
conselho administração,neutro
relevante,positivo
bilhões,positivo
fato,neutro
operação,neutro
resultado,neutro
empresas,neutro
ebitda,neutro
operações,neutro
receita,positivo
prazo,neutro
vendas,positivo
instrução,neutro
relação,neutro
qualquer,neutro
lei,litigiosa
dia,neutro
aquisição,positivo
acordo,neutro
fato relevante,neutro
lucro,positivo
aumento,positivo
financeiro,neutro
serviços,positivo
outras,neutro
estado,neutro
despesas,negativo
negócios,positivo
investimentos,positivo
produção,positivo
venda,positivo
período,neutro
clientes,positivo
trimestre,neutro
crédito,positivo
investimento,positivo
artigo,neutro
nire,neutro
bem,neutro
caixa,positivo
distribuição,positivo
base,neutro
anos,neutro
petróleo,neutro
banco,neutro
ação,neutro
expectativas,incerteza
ativos,neutro
ordinárias,neutro
tais,neutro
diretor relações,litigiosa
futuros,neutro
acionistas mercado,neutro
condições,neutro
contrato,litigiosa
margem,positivo
mercado geral,neutro
novo,positivo
juros,positivo
operacional,neutro
ações ordinárias,positivo
financeira,positivo
operacionais,neutro
pagamento,positivo
dívida,negativo
cnpj nire,neutro
financeiras,positivo
riscos,incerteza
gestão,positivo
volume,neutro
redução,negativo
caso,litigiosa
direito,litigiosa
capacidade,positivo
médio,neutro
acima,positivo
nacional,neutro
produtos,positivo
além,positivo
informa,positivo
divulgação,positivo
lucro líquido,positivo
controle,positivo
geração,positivo
realizada,positivo
atendimento,positivo
demais,positivo
comissão,positivo
número,neutro
compra,positivo
carteira,neutro
