word,tone,sentiment
acalmar,1,positive
acalmaram,1,positive
acrescido,1,positive
acrescidos,1,positive
acrescimo,1,positive
acrescimos,1,positive
aliamos,1,positive
alianca,1,positive
aliancas,1,positive
aliando,1,positive
alicerca,1,positive
alicercada,1,positive
alicercadas,1,positive
alicercado,1,positive
alicercados,1,positive
alicercam,1,positive
alicercando,1,positive
alicercar,1,positive
alicercaram,1,positive
alicerce,1,positive
alicerces,1,positive
alicercou,1,positive
aliviada,1,positive
aliviadas,1,positive
aliviadores,1,positive
aliviados,1,positive
aliviamento,1,positive
aliviando,1,positive
aliviar,1,positive
alivio,1,positive
alivios,1,positive
aliviou,1,positive
aperfeicoa,1,positive
aperfeicoada,1,positive
aperfeicoadas,1,positive
aperfeicoado,1,positive
aperfeicoados,1,positive
aperfeicoam,1,positive
aperfeicoamento,1,positive
aperfeicoamentos,1,positive
aperfeicoamos,1,positive
aperfeicoando,1,positive
aperfeicoar,1,positive
aperfeicoara,1,positive
aperfeicoaram,1,positive
aperfeicoarem,1,positive
aperfeicoe,1,positive
aperfeicoou,1,positive
aprimora,1,positive
aprimorada,1,positive
aprimoradas,1,positive
aprimorado,1,positive
aprimorados,1,positive
aprimoram,1,positive
aprimoramento,1,positive
aprimoramentos,1,positive
aprimoramos,1,positive
aprimorando,1,positive
aprimorar,1,positive
aprimorara,1,positive
aprimoraram,1,positive
aprimorarem,1,positive
aprimorarmos,1,positive
aprimorou,1,positive
aquisicao,1,positive
aquisicoes,1,positive
arrecadacao,1,positive
avanca,1,positive
avancada,1,positive
avancadas,1,positive
avancado,1,positive
avancados,1,positive
avancam,1,positive
avancamos,1,positive
avancando,1,positive
avancar,1,positive
avancara,1,positive
avancaram,1,positive
avancarem,1,positive
avancaremos,1,positive
avancariamos,1,positive
avancarmos,1,positive
avancasse,1,positive
avance,1,positive
avanco,1,positive
avancos,1,positive
avancou,1,positive
benefica,1,positive
beneficas,1,positive
beneficencia,1,positive
beneficente,1,positive
beneficentes,1,positive
beneficia,1,positive
beneficiada,1,positive
beneficiadas,1,positive
beneficiado,1,positive
beneficiados,1,positive
beneficiam,1,positive
beneficiamos,1,positive
beneficiando,1,positive
beneficiar,1,positive
beneficiara,1,positive
beneficiaram,1,positive
beneficiarao,1,positive
beneficiarem,1,positive
beneficiaria,1,positive
beneficiarias,1,positive
beneficiarmos,1,positive
beneficiava,1,positive
beneficiem,1,positive
beneficiente,1,positive
beneficio,1,positive
beneficios,1,positive
beneficiou,1,positive
benefico,1,positive
beneficos,1,positive
boa,1,positive
bom,1,positive
bons,1,positive
bonus,1,positive
celebra,1,positive
celebracao,1,positive
celebracoes,1,positive
celebrada,1,positive
celebradas,1,positive
celebrado,1,positive
celebrados,1,positive
celebram,1,positive
celebramos,1,positive
celebrando,1,positive
celebrar,1,positive
celebraram,1,positive
celebrarao,1,positive
celebraremos,1,positive
celebrou,1,positive
colabora,1,positive
colaboracao,1,positive
colaboracoes,1,positive
colaborado,1,positive
colaborador,1,positive
colaboradora,1,positive
colaboradoras,1,positive
colaboradores,1,positive
colaborados,1,positive
colaboram,1,positive
colaboramos,1,positive
colaborando,1,positive
colaborar,1,positive
colaboraram,1,positive
colaborarem,1,positive
colaborares,1,positive
colaborativa,1,positive
colaborativas,1,positive
colaborativo,1,positive
colaborem,1,positive
colabores,1,positive
colaborou,1,positive
confianca,1,positive
confiancas,1,positive
conquista,1,positive
conquistada,1,positive
conquistadas,1,positive
conquistado,1,positive
conquistados,1,positive
conquistam,1,positive
conquistamos,1,positive
conquistando,1,positive
conquistar,1,positive
conquistara,1,positive
conquistaram,1,positive
conquistarmos,1,positive
conquistas,1,positive
conquistassem,1,positive
conquiste,1,positive
conquistem,1,positive
conquistou,1,positive
consolida,1,positive
consolidacao,1,positive
consolidacoes,1,positive
consolidada,1,positive
consolidadado,1,positive
consolidadamente,1,positive
consolidadas,1,positive
consolidado,1,positive
consolidador,1,positive
consolidadora,1,positive
consolidadoras,1,positive
consolidadores,1,positive
consolidados,1,positive
consolidam,1,positive
consolidamos,1,positive
consolidando,1,positive
consolidar,1,positive
consolidara,1,positive
consolidaram,1,positive
consolidaremos,1,positive
consolidarmos,1,positive
consolidas,1,positive
consolidasse,1,positive
consolidava,1,positive
consolidavamos,1,positive
consolidem,1,positive
consolidou,1,positive
contentes,1,positive
contento,1,positive
contribruicao,1,positive
contribua,1,positive
contribuam,1,positive
contribuem,1,positive
contribui,1,positive
contribuia,1,positive
contribuiam,1,positive
contribuicao,1,positive
contribuicoes,1,positive
contribuido,1,positive
contribuidos,1,positive
contribuimos,1,positive
contribuindo,1,positive
contribuir,1,positive
contribuira,1,positive
contribuiram,1,positive
contribuirao,1,positive
contribuirem,1,positive
contribuiria,1,positive
contribuiriam,1,positive
contribuirmos,1,positive
contribuissem,1,positive
contribuiu,1,positive
contributiva,1,positive
contributivo,1,positive
contributivos,1,positive
cooperacao,1,positive
cresca,1,positive
crescam,1,positive
cresce,1,positive
crescem,1,positive
crescemos,1,positive
crescendo,1,positive
crescente,1,positive
crescentemente,1,positive
crescentes,1,positive
crescer,1,positive
crescera,1,positive
cresceram,1,positive
crescerao,1,positive
crescerem,1,positive
cresceremos,1,positive
cresceria,1,positive
crescermos,1,positive
crescesse,1,positive
crescessem,1,positive
cresceu,1,positive
crescia,1,positive
cresciam,1,positive
crescido,1,positive
crescimento,1,positive
crescimentos,1,positive
dedica,1,positive
dedicacao,1,positive
dedicada,1,positive
dedicadas,1,positive
dedicado,1,positive
dedicados,1,positive
dedicam,1,positive
dedicamos,1,positive
dedicando,1,positive
dedicar,1,positive
dedicara,1,positive
dedicaram,1,positive
dedicaremos,1,positive
dedicasse,1,positive
dedicava,1,positive
dedicou,1,positive
desenvolva,1,positive
desenvolvam,1,positive
desenvolve,1,positive
desenvolvedor,1,positive
desenvolvedora,1,positive
desenvolvedores,1,positive
desenvolvem,1,positive
desenvolvemos,1,positive
desenvolvendo,1,positive
desenvolver,1,positive
desenvolvera,1,positive
desenvolveram,1,positive
desenvolverao,1,positive
desenvolverem,1,positive
desenvolveremos,1,positive
desenvolvermos,1,positive
desenvolvessem,1,positive
desenvolvessemos,1,positive
desenvolveu,1,positive
desenvolviam,1,positive
desenvolvida,1,positive
desenvolvidas,1,positive
desenvolvido,1,positive
desenvolvidos,1,positive
desenvolvimento,1,positive
desenvolvimentos,1,positive
desenvolvimeto,1,positive
economiza,1,positive
economizada,1,positive
economizado,1,positive
economizador,1,positive
economizadores,1,positive
economizados,1,positive
economizam,1,positive
economizamos,1,positive
economizando,1,positive
economizar,1,positive
economizara,1,positive
economizassem,1,positive
economizou,1,positive
educando,1,positive
educar,1,positive
educativa,1,positive
educativas,1,positive
educativo,1,positive
educativos,1,positive
empenha,1,positive
empenhada,1,positive
empenhadas,1,positive
empenhado,1,positive
empenhados,1,positive
empenham,1,positive
empenhamento,1,positive
empenhamos,1,positive
empenhando,1,positive
empenhar,1,positive
empenharam,1,positive
empenhasse,1,positive
empenho,1,positive
empenhos,1,positive
empenhou,1,positive
emprega,1,positive
empregabilidade,1,positive
empregam,1,positive
empregamos,1,positive
empregando,1,positive
empregar,1,positive
empregaram,1,positive
empregarao,1,positive
empregarem,1,positive
empregava,1,positive
empregavam,1,positive
empregavamos,1,positive
empregavel,1,positive
empreguem,1,positive
equilibrio,1,positive
estabilidade,1,positive
estabilidades,1,positive
estabiliza,1,positive
estabilizacao,1,positive
estabilizada,1,positive
estabilizadas,1,positive
estabilizado,1,positive
estabilizados,1,positive
estabilizamos,1,positive
estabilizando,1,positive
estabilizar,1,positive
estabilizaram,1,positive
estabilize,1,positive
estabilizem,1,positive
estabilizou,1,positive
estaveis,1,positive
estavel,1,positive
evolua,1,positive
evolucao,1,positive
evolucoes,1,positive
evolui,1,positive
evoluia,1,positive
evoluido,1,positive
evoluidos,1,positive
evoluimos,1,positive
evoluindo,1,positive
evoluir,1,positive
evoluiram,1,positive
evoluirao,1,positive
evoluirem,1,positive
evoluiria,1,positive
evoluirmos,1,positive
evoluisse,1,positive
evoluissem,1,positive
evoluiu,1,positive
evolutiva,1,positive
evolutivo,1,positive
evolutivos,1,positive
excelencia,1,positive
excelente,1,positive
excelentes,1,positive
exito,1,positive
exitos,1,positive
expandimos,1,positive
expandindo,1,positive
expandir,1,positive
expandira,1,positive
expandiram,1,positive
expandirao,1,positive
expandirem,1,positive
expandiremos,1,positive
expandirmos,1,positive
expandisse,1,positive
expandiu,1,positive
facil,1,positive
facilidade,1,positive
facilidades,1,positive
facilita,1,positive
facilitacao,1,positive
facilitada,1,positive
facilitadas,1,positive
facilitado,1,positive
facilitador,1,positive
facilitadora,1,positive
facilitadoras,1,positive
facilitadores,1,positive
facilitados,1,positive
facilitam,1,positive
facilitamos,1,positive
facilitando,1,positive
facilitar,1,positive
facilitara,1,positive
facilitaram,1,positive
facilitarao,1,positive
facilitaria,1,positive
facilitassem,1,positive
facilitava,1,positive
facilite,1,positive
facilitem,1,positive
facilitou,1,positive
facilmente,1,positive
favoraveis,1,positive
favoravel,1,positive
favoravelmente,1,positive
favoreca,1,positive
favorecam,1,positive
favorece,1,positive
favorecem,1,positive
favorecendo,1,positive
favorecer,1,positive
favorecera,1,positive
favoreceram,1,positive
favorecerao,1,positive
favorecessem,1,positive
favoreceu,1,positive
favorecia,1,positive
favorecida,1,positive
favorecidas,1,positive
favorecido,1,positive
favorecidos,1,positive
favorecimento,1,positive
fideliza,1,positive
fidelizacao,1,positive
fidelizado,1,positive
fidelizador,1,positive
fidelizam,1,positive
fidelizando,1,positive
fidelizar,1,positive
fidelize,1,positive
fomenta,1,positive
fomentada,1,positive
fomentadas,1,positive
fomentado,1,positive
fomentador,1,positive
fomentadora,1,positive
fomentadoras,1,positive
fomentadores,1,positive
fomentados,1,positive
fomentam,1,positive
fomentamos,1,positive
fomentando,1,positive
fomentar,1,positive
fomentaram,1,positive
fomente,1,positive
fomentem,1,positive
fomento,1,positive
fomentos,1,positive
fomentou,1,positive
fortaleca,1,positive
fortalecam,1,positive
fortalece,1,positive
fortalecem,1,positive
fortalecemos,1,positive
fortalecendo,1,positive
fortalecer,1,positive
fortalecera,1,positive
fortaleceram,1,positive
fortalecerao,1,positive
fortalecerem,1,positive
fortaleceremos,1,positive
fortaleceu,1,positive
ganha,1,positive
ganhado,1,positive
ganham,1,positive
ganhamos,1,positive
ganhando,1,positive
ganhar,1,positive
ganhara,1,positive
ganharam,1,positive
ganharao,1,positive
ganharemos,1,positive
ganharmos,1,positive
ganhas,1,positive
ganhasse,1,positive
ganhava,1,positive
ganhavam,1,positive
ganhe,1,positive
ganhem,1,positive
ganho,1,positive
ganhos,1,positive
ganhou,1,positive
investe,1,positive
investem,1,positive
investiamos,1,positive
investida,1,positive
investidas,1,positive
investido,1,positive
investidos,1,positive
investimento,1,positive
investimentos,1,positive
investimos,1,positive
investindo,1,positive
investir,1,positive
investira,1,positive
investiram,1,positive
investirao,1,positive
investirem,1,positive
investiremos,1,positive
investiria,1,positive
investirmos,1,positive
investiu,1,positive
lidera,1,positive
liderada,1,positive
lideradas,1,positive
liderado,1,positive
liderados,1,positive
lideram,1,positive
lideramos,1,positive
liderando,1,positive
liderar,1,positive
lideraram,1,positive
lucra,1,positive
lucram,1,positive
lucrativa,1,positive
lucrativas,1,positive
lucratividade,1,positive
lucrativo,1,positive
lucrativos,1,positive
lucro,1,positive
lucros,1,positive
maximiza,1,positive
maximizacao,1,positive
maximizada,1,positive
maximizadas,1,positive
maximizado,1,positive
maximizados,1,positive
maximizamos,1,positive
maximizando,1,positive
maximizar,1,positive
maximizara,1,positive
maximizaram,1,positive
maximizassem,1,positive
maximize,1,positive
maximizem,1,positive
maximizou,1,positive
meta,1,positive
metas,1,positive
oportuna,1,positive
oportunamente,1,positive
oportunas,1,positive
oportunidade,1,positive
oportunidades,1,positive
oportuniza,1,positive
oportunizadas,1,positive
oportunizado,1,positive
oportunizam,1,positive
oportunizamos,1,positive
oportunizando,1,positive
oportunizar,1,positive
oportunizou,1,positive
oportuno,1,positive
oportunos,1,positive
otima,1,positive
otimas,1,positive
otimismo,1,positive
otimista,1,positive
otimistas,1,positive
otimiza,1,positive
otimizacao,1,positive
otimizacoes,1,positive
otimizada,1,positive
otimizado,1,positive
otimizados,1,positive
otimizam,1,positive
otimizamos,1,positive
otimizando,1,positive
otimizar,1,positive
otimizara,1,positive
otimizassem,1,positive
otimizem,1,positive
otimizou,1,positive
otimo,1,positive
otimos,1,positive
positiva,1,positive
positivamente,1,positive
positivas,1,positive
positividade,1,positive
positivismo,1,positive
positivo,1,positive
positivos,1,positive
premiacao,1,positive
premiacoes,1,positive
premiada,1,positive
premiadas,1,positive
premiado,1,positive
premiados,1,positive
premiando,1,positive
premiar,1,positive
premiara,1,positive
premiaram,1,positive
premiavel,1,positive
prevencao,1,positive
prevencoes,1,positive
preventiva,1,positive
preventivas,1,positive
preventivo,1,positive
preventivos,1,positive
progredimos,1,positive
progredindo,1,positive
progredir,1,positive
progredirem,1,positive
progrediu,1,positive
progresso,1,positive
progressos,1,positive
progride,1,positive
prospera,1,positive
prosperar,1,positive
prosperas,1,positive
prosperidade,1,positive
prospero,1,positive
prosperos,1,positive
protecao,1,positive
protecoes,1,positive
protege,1,positive
protegem,1,positive
protegendo,1,positive
proteger,1,positive
protegeram,1,positive
protegerem,1,positive
protegermos,1,positive
protegeu,1,positive
protegiam,1,positive
protegida,1,positive
protegidas,1,positive
protegido,1,positive
protegidos,1,positive
reaquecendo,1,positive
reaquecer,1,positive
reaqueceu,1,positive
reaquecimento,1,positive
receita,1,positive
receitas,1,positive
recupera,1,positive
recuperabilidade,1,positive
recuperacao,1,positive
recuperacoes,1,positive
recuperada,1,positive
recuperadas,1,positive
recuperado,1,positive
recuperador,1,positive
recuperadora,1,positive
recuperadoras,1,positive
recuperadores,1,positive
recuperados,1,positive
recuperam,1,positive
recuperamos,1,positive
recuperando,1,positive
recuperar,1,positive
recuperara,1,positive
recuperaram,1,positive
recuperarao,1,positive
recuperarem,1,positive
recuperaria,1,positive
recuperarmos,1,positive
recuperasse,1,positive
recuperava,1,positive
recuperaveis,1,positive
recuperavel,1,positive
recupere,1,positive
recuperem,1,positive
recuperou,1,positive
renda,1,positive
rendas,1,positive
rende,1,positive
rendem,1,positive
rendemos,1,positive
rendendo,1,positive
render,1,positive
renderam,1,positive
renderao,1,positive
renderia,1,positive
rendeu,1,positive
rendimento,1,positive
rendimentos,1,positive
rentabilidade,1,positive
rentabilidades,1,positive
rentabiliza,1,positive
rentabilizacao,1,positive
rentabilizado,1,positive
rentabilizando,1,positive
rentabilizar,1,positive
rentabilizaram,1,positive
rentabilize,1,positive
riqueza,1,positive
riquezas,1,positive
sucessos,1,positive
superavits,1,positive
supere,1,positive
superem,1,positive
superior,1,positive
superiores,1,positive
superioridade,1,positive
superou,1,positive
valoriza,1,positive
valorizacao,1,positive
valorizacoes,1,positive
valorizada,1,positive
valorizadas,1,positive
valorizado,1,positive
valorizados,1,positive
valorizam,1,positive
valorizamos,1,positive
valorizando,1,positive
valorizar,1,positive
valorizaram,1,positive
valorizasse,1,positive
valorizassem,1,positive
valorize,1,positive
valorizem,1,positive
valorizou,1,positive
vantagem,1,positive
vantagens,1,positive
abaixo,-1,negative
acaba,-1,negative
acabada,-1,negative
acabadas,-1,negative
acabado,-1,negative
acabados,-1,negative
acabam,-1,negative
acabamos,-1,negative
acabando,-1,negative
acabar,-1,negative
acabara,-1,negative
acabaram,-1,negative
acabou,-1,negative
acarreta,-1,negative
acarretadas,-1,negative
acarretado,-1,negative
acarretados,-1,negative
acarretam,-1,negative
acarretando,-1,negative
acarretar,-1,negative
acarretara,-1,negative
acarretaram,-1,negative
acarretaria,-1,negative
acarretava,-1,negative
acarretavam,-1,negative
acarrete,-1,negative
acarretem,-1,negative
acarretou,-1,negative
acaso,-1,negative
acidentada,-1,negative
acidentado,-1,negative
acidentados,-1,negative
acidentais,-1,negative
acidental,-1,negative
acidentalidade,-1,negative
acidentalmente,-1,negative
acidentarias,-1,negative
acidentario,-1,negative
acidente,-1,negative
acidentes,-1,negative
acometeram,-1,negative
acometeu,-1,negative
acometidos,-1,negative
acumulado,-1,negative
acumulava,-1,negative
acumulavam,-1,negative
acumulou,-1,negative
adulteracao,-1,negative
adulterada,-1,negative
adulterados,-1,negative
adversa,-1,negative
adversamente,-1,negative
adversas,-1,negative
adversidade,-1,negative
adversidades,-1,negative
adverso,-1,negative
adversos,-1,negative
afeta,-1,negative
afetacao,-1,negative
afetada,-1,negative
afetadas,-1,negative
afetado,-1,negative
afetados,-1,negative
afetam,-1,negative
afetando,-1,negative
afetar,-1,negative
afetara,-1,negative
afetaram,-1,negative
afetarao,-1,negative
afetarem,-1,negative
afetaria,-1,negative
afetas,-1,negative
afetasse,-1,negative
afetassem,-1,negative
afetava,-1,negative
afete,-1,negative
afetem,-1,negative
afetou,-1,negative
agio,-1,negative
agios,-1,negative
agitacao,-1,negative
agitacoes,-1,negative
agitado,-1,negative
agressao,-1,negative
agressiva,-1,negative
agressivamente,-1,negative
agressivas,-1,negative
agressividade,-1,negative
agressivo,-1,negative
agressivos,-1,negative
agressoes,-1,negative
agressoras,-1,negative
aguda,-1,negative
agudamente,-1,negative
agudas,-1,negative
agudo,-1,negative
agudos,-1,negative
alicia,-1,negative
aliciamento,-1,negative
alienacao,-1,negative
alienacoes,-1,negative
alienada,-1,negative
alienadas,-1,negative
alienado,-1,negative
alienados,-1,negative
alienamos,-1,negative
alienando,-1,negative
alienante,-1,negative
alienantes,-1,negative
alienar,-1,negative
alienara,-1,negative
alienaram,-1,negative
alienou,-1,negative
alijada,-1,negative
anomalia,-1,negative
anomalias,-1,negative
anormais,-1,negative
anormal,-1,negative
anormalidade,-1,negative
anormalidades,-1,negative
apesar,-1,negative
apuro,-1,negative
aquem,-1,negative
arbitragem,-1,negative
arbitragens,-1,negative
assimetria,-1,negative
assimetrias,-1,negative
assimetrica,-1,negative
assimetricamente,-1,negative
assimetrico,-1,negative
assimetricos,-1,negative
atrapalhar,-1,negative
atras,-1,negative
atrasada,-1,negative
atrasadas,-1,negative
atrasado,-1,negative
atrasados,-1,negative
atrasando,-1,negative
atrasar,-1,negative
atraso,-1,negative
atrasos,-1,negative
atrasou,-1,negative
autofalencia,-1,negative
autuacao,-1,negative
autuacoes,-1,negative
autuada,-1,negative
autuadas,-1,negative
autuados,-1,negative
baixa,-1,negative
baixada,-1,negative
baixadas,-1,negative
baixado,-1,negative
baixados,-1,negative
baixamos,-1,negative
baixando,-1,negative
baixar,-1,negative
baixaram,-1,negative
baixas,-1,negative
baixassem,-1,negative
baixissima,-1,negative
baixissimas,-1,negative
baixissimo,-1,negative
baixo,-1,negative
baixos,-1,negative
baixou,-1,negative
balanca,-1,negative
brutal,-1,negative
brutalmente,-1,negative
caducarao,-1,negative
caducidade,-1,negative
cair,-1,negative
cairam,-1,negative
cairao,-1,negative
cairem,-1,negative
caiu,-1,negative
cancelada,-1,negative
canceladas,-1,negative
cancelado,-1,negative
cancelados,-1,negative
cancelamento,-1,negative
cancelamentos,-1,negative
cancelamos,-1,negative
cancelando,-1,negative
cancelar,-1,negative
cancelou,-1,negative
canibalizacao,-1,negative
canibalizando,-1,negative
castigadas,-1,negative
castigado,-1,negative
causa,-1,negative
causada,-1,negative
causadas,-1,negative
causado,-1,negative
causador,-1,negative
causadora,-1,negative
causadoras,-1,negative
causadores,-1,negative
causados,-1,negative
causam,-1,negative
causando,-1,negative
causar,-1,negative
causara,-1,negative
causaram,-1,negative
causaria,-1,negative
causas,-1,negative
causassem,-1,negative
causem,-1,negative
causou,-1,negative
cisao,-1,negative
cobradas,-1,negative
cobrado,-1,negative
cobram,-1,negative
cobramos,-1,negative
cobranca,-1,negative
cobrancas,-1,negative
cobrando,-1,negative
cobrar,-1,negative
cobrava,-1,negative
cobravam,-1,negative
cobrem,-1,negative
cobrou,-1,negative
combata,-1,negative
combate,-1,negative
combatem,-1,negative
combatendo,-1,negative
combater,-1,negative
combateu,-1,negative
combatida,-1,negative
combatido,-1,negative
combatidos,-1,negative
compensa,-1,negative
compensacao,-1,negative
compensacoes,-1,negative
compensada,-1,negative
compensadas,-1,negative
compensado,-1,negative
compensador,-1,negative
compensadoras,-1,negative
compensadores,-1,negative
compensados,-1,negative
compensam,-1,negative
compensando,-1,negative
compensar,-1,negative
compensara,-1,negative
compensaram,-1,negative
compensaria,-1,negative
compensatoria,-1,negative
compensatorias,-1,negative
compensatorio,-1,negative
compensatorios,-1,negative
compensaveis,-1,negative
compensavel,-1,negative
compense,-1,negative
compensem,-1,negative
compensou,-1,negative
complexa,-1,negative
complexas,-1,negative
complexidade,-1,negative
complexidades,-1,negative
complexo,-1,negative
complexos,-1,negative
comprimidas,-1,negative
comprimido,-1,negative
comprimidos,-1,negative
comprimimos,-1,negative
comprimindo,-1,negative
comprimir,-1,negative
comprimiram,-1,negative
comprimiu,-1,negative
compromentendo,-1,negative
comprometa,-1,negative
comprometam,-1,negative
compromete,-1,negative
comprometem,-1,negative
comprometemo,-1,negative
comprometemos,-1,negative
comprometendo,-1,negative
comprometer,-1,negative
comprometeram,-1,negative
comprometerem,-1,negative
comprometermos,-1,negative
comprometessem,-1,negative
comprometeu,-1,negative
comprometia,-1,negative
comprometiam,-1,negative
comprometida,-1,negative
comprometidas,-1,negative
comprometido,-1,negative
comprometidos,-1,negative
comprometimento,-1,negative
comprometimentos,-1,negative
concorrencia,-1,negative
concorrenciais,-1,negative
concorrencial,-1,negative
concorrencias,-1,negative
concorrente,-1,negative
concorrentes,-1,negative
conflita,-1,negative
conflitam,-1,negative
conflitando,-1,negative
conflitante,-1,negative
conflitantes,-1,negative
conflitaram,-1,negative
conflitavam,-1,negative
conflito,-1,negative
conflitos,-1,negative
conserto,-1,negative
consertos,-1,negative
constrangimento,-1,negative
consumida,-1,negative
consumidas,-1,negative
consumido,-1,negative
contagio,-1,negative
contagiosa,-1,negative
contagiosas,-1,negative
contagiou,-1,negative
contamina,-1,negative
contaminacao,-1,negative
contaminacoes,-1,negative
contaminada,-1,negative
contaminadas,-1,negative
contaminado,-1,negative
contaminados,-1,negative
contaminantes,-1,negative
contaminar,-1,negative
contamine,-1,negative
contaminou,-1,negative
contencao,-1,negative
contencioso,-1,negative
contenciosos,-1,negative
contencoes,-1,negative
contenda,-1,negative
contensao,-1,negative
contentar,-1,negative
contida,-1,negative
contidas,-1,negative
contido,-1,negative
contidos,-1,negative
contigencias,-1,negative
contigente,-1,negative
contingencia,-1,negative
contingenciada,-1,negative
contingenciadas,-1,negative
contingenciado,-1,negative
contingenciados,-1,negative
contingenciais,-1,negative
contingencial,-1,negative
contingenciamento,-1,negative
contingenciamentos,-1,negative
contingenciar,-1,negative
contingencias,-1,negative
contingente,-1,negative
contingentes,-1,negative
contorna,-1,negative
contornadas,-1,negative
contornado,-1,negative
contornados,-1,negative
contornar,-1,negative
contra,-1,negative
contrabando,-1,negative
contracao,-1,negative
contraciclicas,-1,negative
contracionismo,-1,negative
contracionista,-1,negative
contracoes,-1,negative
contradicao,-1,negative
contraditoria,-1,negative
contraditorios,-1,negative
contradiz,-1,negative
contraida,-1,negative
contraidas,-1,negative
contraido,-1,negative
contraidos,-1,negative
contrair,-1,negative
contrairam,-1,negative
contraiu,-1,negative
contramao,-1,negative
contrapoe,-1,negative
contrapoem,-1,negative
contrapondo,-1,negative
contrapor,-1,negative
contrapos,-1,negative
contraposicao,-1,negative
contraposta,-1,negative
contrapostas,-1,negative
contraposto,-1,negative
contrapostos,-1,negative
contraprestacoes,-1,negative
contraria,-1,negative
contrariam,-1,negative
contrariamente,-1,negative
contrariando,-1,negative
contrariaram,-1,negative
contrarias,-1,negative
contrariedade,-1,negative
contrario,-1,negative
contrarios,-1,negative
controversa,-1,negative
controversia,-1,negative
controversias,-1,negative
controverso,-1,negative
controversos,-1,negative
contundente,-1,negative
contundentes,-1,negative
conturbacoes,-1,negative
conturbada,-1,negative
conturbado,-1,negative
conturbados,-1,negative
correcao,-1,negative
cortado,-1,negative
cortados,-1,negative
cortamos,-1,negative
cortando,-1,negative
cortar,-1,negative
cortaram,-1,negative
cortasse,-1,negative
corte,-1,negative
cortem,-1,negative
cortes,-1,negative
crise,-1,negative
crises,-1,negative
critica,-1,negative
criticados,-1,negative
criticamente,-1,negative
criticar,-1,negative
criticas,-1,negative
criticidade,-1,negative
critico,-1,negative
criticos,-1,negative
custa,-1,negative
custado,-1,negative
custam,-1,negative
custar,-1,negative
custara,-1,negative
